hehe,DAYTON_MW
0,20.867
1,21
2,20.867
3,20.65
4,20.4
5,20.1
6,19.8
7,19.5
8,19.4
9,19.5
10,19.933
11,20.75
12,21.833
13,22.75
14,23.7
15,24.6
16,25.1
17,12.1
18,19.667
19,23.133
20,23.1
21,22.7
22,22.3
23,21.8
24,21.333
25,20.933
26,20.567
27,20.25
28,20.1
29,15.667
30,19.167
31,14.1
32,14.05
33,13.467
34,11.4
35,9.9
36,9.833
37,10
38,13.033
39,9.333
40,12.7
41,12.733
42,15.733
43,16.033
44,16.033
45,16.1
46,12.95
47,23.6
48,26.5
49,25.5
50,24.5
51,23.633
52,23.1
53,22.6
54,14.9
55,14.133
56,22.7
57,23.533
58,23.75
59,24.2
60,24.867
61,25.5
62,26
63,26.267
64,9.633
65,9.267
66,8.85
67,15.6
68,12.267
69,9.067
70,12.467
71,21.35
72,23.967
73,24.4
74,23.9
75,23.3
76,22.8
77,20.8
78,14.967
79,11.7
80,15.6
81,8.4
82,9.067
83,9.967
84,9.8
85,9.833
86,12.433
87,9.767
88,9.567
89,9.1
90,11.7
91,25.333
92,8.167
93,16.167
94,16.133
95,26.2
96,26.75
97,25.867
98,24.767
99,23.95
100,23.333
101,22.7
102,11.8
103,15.4
104,7.45
105,12.167
106,9.2
107,9.8
108,10.067
109,10.1
110,10.35
111,14.567
112,9.1
113,8.133
114,20.55
115,19.167
116,18.1
117,11
118,13.233
119,21.167
120,23.5
121,23.7
122,23.267
123,22.8
124,22.333
125,22
126,16.533
127,14.333
128,12.2
129,8.767
130,9.4
131,9.633
132,9.9
133,9.5
134,12.8
135,9.833
136,9.1
137,13.067
138,16.5
139,25.033
140,23.5
141,8.325
142,14.2
143,25.7
144,26.767
145,25.367
146,24.1
147,23.2
148,22.533
149,21.933
150,21.85
151,22.9
152,18.2
153,12.75
154,12.575
155,17.8
156,9.867
157,10.333
158,19.5
159,13
160,14.267
161,17.633
162,21.367
163,22.85
164,18.467
165,14.067
166,18.867
167,23.867
168,25.05
169,24.5
170,23.567
171,22.8
172,22.3
173,21.867
174,21.5
175,21.3
176,21.5
177,21.967
178,22.767
179,23.35
180,23.667
181,23.833
182,24.133
183,24.3
184,24.2
185,23.9
186,23.4
187,22.95
188,22.433
189,22.033
190,21.75
191,21.433
192,21.25
193,21.075
194,20.833
195,20.7
196,20.55
197,20.267
198,21.767
199,24.767
200,24.067
201,23.4
202,23.333
203,23.7
204,24.2
205,24.8
206,25.467
207,25.7
208,25.4
209,24.35
210,23.3
211,22.3
212,21.55
213,20.933
214,20.3
215,19.933
216,19.55
217,19.167
218,18.733
219,18.233
220,17.733
221,17.35
222,17.733
223,21.633
224,21.467
225,20.867
226,20.85
227,21.233
228,21.775
229,22.667
230,23.533
231,24
232,23.867
233,23.35
234,22.6
235,21.9
236,21.233
237,21.533
238,22.4
239,26.05
240,25.1
241,23.3
242,21.8
243,20.733
244,19.9
245,19.3
246,19.667
247,20.667
248,21.433
249,22.533
250,18.233
251,17.9
252,12.5
253,9.65
254,17.3
255,25.75
256,26.733
257,25.467
258,24.067
259,23.067
260,22.3
261,21.533
262,23.033
263,26.15
264,24.833
265,23.3
266,22.033
267,20.833
268,19.9
269,19.2
270,18.9
271,20.55
272,21.2
273,21.767
274,22.9
275,13.933
276,21.4
277,14.133
278,18.1
279,18.433
280,13.45
281,23.4
282,23.067
283,23.867
284,22.4
285,22.167
286,21.95
287,26.3
288,25.267
289,23.433
290,21.933
291,20.8
292,20.05
293,19.533
294,19.167
295,20.3
296,21.9
297,22.5
298,16.467
299,23.4
300,17.133
301,11.933
302,10.2
303,12.6
304,17.4
305,16.033
306,15.667
307,23.15
308,15.8
309,15.8
310,22.733
311,26.167
312,24.633
313,23.35
314,22.333
315,21.5
316,20.967
317,20.5
318,20.233
319,23.5
320,22.9
321,22.1
322,22.1
323,22.633
324,23.35
325,24.033
326,24.667
327,24.9
328,24.8
329,24.367
330,23.8
331,23.2
332,22.667
333,22.25
334,22.033
335,21.867
336,21.467
337,21.15
338,20.8
339,20.367
340,19.967
341,19.65
342,19.5
343,19.267
344,19.3
345,19.8
346,20.45
347,21.3
348,22.175
349,23
350,23.867
351,24.367
352,24.35
353,24
354,23.3
355,22.55
356,21.933
357,21.3
358,20.733
359,20.2
360,19.667
361,19.35
362,19.1
363,18.8
364,18.5
365,18.4
366,19.6
367,22.667
368,25.067
369,23.467
370,22.533
371,22.5
372,22.85
373,23.333
374,23.8
375,23.9
376,23.75
377,23.3
378,22.7
379,22.167
380,21.75
381,21.333
382,21
383,20.9
384,20.633
385,20.3
386,20
387,19.75
388,19.467
389,19.233
390,20.333
391,18.6
392,15.6
393,15.3
394,12.1
395,9.6
396,10.4
397,10.233
398,10
399,10.033
400,10.267
401,9.933
402,9.233
403,13.633
404,24.533
405,23.667
406,22.433
407,21.9
408,21.6
409,21.233
410,20.833
411,20.45
412,20.133
413,19.733
414,20.033
415,16.633
416,20.25
417,10.85
418,13.1
419,9.267
420,9.833
421,10
422,9.967
423,9.8
424,8.7
425,12.133
426,11.3
427,11.4
428,13.967
429,12.933
430,10.6
431,24.033
432,24.5
433,23.55
434,22.6
435,21.667
436,20.85
437,20.25
438,20.3
439,16.15
440,11.633
441,11.2
442,12.25
443,8.667
444,8.533
445,10.933
446,9.1
447,10
448,23.075
449,25.033
450,24.433
451,23.933
452,23.15
453,22.6
454,22.167
455,22.033
456,22.067
457,21.967
458,21.65
459,21.333
460,20.833
461,20.5
462,17.7
463,16.45
464,13.133
465,11.633
466,7.067
467,7.4
468,7.8
469,8.167
470,8.567
471,8.2
472,7.7
473,11.767
474,12.3
475,12.3
476,13.2
477,13.167
478,15
479,24.6
480,25.9
481,24.6
482,23.2
483,22.1
484,21.45
485,20.933
486,20.867
487,14.833
488,9.25
489,11.3
490,9.067
491,8.267
492,10.567
493,9.05
494,9.167
495,12.133
496,9.7
497,16.267
498,15.667
499,17.867
500,13.5
501,11.267
502,10.933
503,18.7
504,22.633
505,22.833
506,22.3
507,21.6
508,21
509,20.6
510,20.367
511,20.333
512,20.6
513,21.1
514,21.733
515,17.4
516,22.233
517,23.45
518,23.867
519,24
520,24.1
521,23.9
522,23.4
523,22.767
524,21.967
525,21.267
526,20.767
527,20.4
528,20.133
529,20
530,19.667
531,19.35
532,19.1
533,12.3
534,15.633
535,19.567
536,20
537,19.567
538,19.6
539,20.067
540,20.533
541,20.95
542,21.3
543,21.6
544,21.4
545,21
546,20.433
547,19.833
548,19.4
549,19
550,18.75
551,18.6
552,18.3
553,18.05
554,17.8
555,17.475
556,16.933
557,16.4
558,17.667
559,21.3
560,20.567
561,19.933
562,19.95
563,20.35
564,21.167
565,22.1
566,22.367
567,21.833
568,15.1
569,13.533
570,13.45
571,14.433
572,14.333
573,23.033
574,22.75
575,21.2
576,19.633
577,18.4
578,17.5
579,17.767
580,18.8
581,19.433
582,15.3
583,12.1
584,15.033
585,9.267
586,8.267
587,5.7
588,13.267
589,9.467
590,16.8
591,9.7
592,12.3
593,20.533
594,13.767
595,14.533
596,17.8
597,23.75
598,23.167
599,21.3
600,19.8
601,18.8
602,18.05
603,17.5
604,17.033
605,16.767
606,17.033
607,17.7
608,18.5
609,19.433
610,20.5
611,21.567
612,22.5
613,23.2
614,23.4
615,23.167
616,22.5
617,21.8
618,21.167
619,20.433
620,19.833
621,19.333
622,18.9
623,18.5
624,18.2
625,17.9
626,17.6
627,19.133
628,18.467
629,13
630,13.967
631,15.6
632,15.567
633,6.3
634,5.867
635,6.6
636,7.3
637,7.375
638,9.6
639,14
640,13.867
641,15.167
642,10.067
643,13.967
644,19.467
645,14.833
646,16.633
647,23.467
648,22.033
649,20.8
650,19.8
651,19.2
652,14.033
653,14.367
654,14.833
655,5.35
656,10.467
657,5.633
658,6.433
659,6.95
660,7.2
661,7.233
662,9.633
663,6.8
664,13.133
665,13.867
666,14
667,13.6
668,10.65
669,20.233
670,20.475
671,20.267
672,20.1
673,19.95
674,19.7
675,19.5
676,19.267
677,19.733
678,15.633
679,18.5
680,12.3
681,6.65
682,22.35
683,17
684,8.033
685,7.5
686,6.667
687,25.8
688,13.35
689,14.867
690,16.033
691,20.733
692,16.5
693,20.525
694,20.533
695,20.35
696,20.167
697,20.067
698,19.933
699,20.1
700,20.1
701,20.367
702,14.167
703,14.1
704,5.967
705,7.05
706,8.1
707,9.9
708,9.9
709,9.167
710,7.6
711,6.3
712,11.967
713,9.933
714,10.4
715,14.6
716,14.267
717,10.65
718,13.833
719,15.433
720,19.1
721,14.367
722,14.767
723,20.5
724,10.45
725,11
726,11.3
727,9.267
728,6.55
729,7.7
730,8
731,9.333
732,9.733
733,9.133
734,8.1
735,17.333
736,11.967
737,12.967
738,11.725
739,15.933
740,13
741,15.533
742,14
743,18.133
744,17.9
745,20.733
746,20.467
747,20.267
748,20.45
749,16.367
750,13.833
751,5.633
752,10.9
753,7.367
754,16.55
755,9.45
756,9.833
757,9.833
758,9.067
759,7.5
760,9.7
761,10.767
762,10.433
763,10.267
764,15.6
765,14.633
766,14.067
767,13.167
768,28.2
769,30.1
770,30.9
771,31.1
772,14.5
773,15.2
774,7.033
775,7.433
776,8.333
777,9.167
778,9.575
779,10.15
780,10.567
781,10.133
782,9.167
783,8.233
784,8.3
785,8.5
786,8.067
787,11.167
788,8.35
789,14.9
790,10.333
791,10.367
792,14.333
793,13.5
794,13.867
795,18.267
796,15
797,11.5
798,7
799,6.325
800,6.6
801,7.333
802,7.95
803,8.7
804,9.2
805,8.967
806,8.7
807,8.067
808,7.9
809,11.467
810,7.4
811,11.367
812,16.2
813,18.5
814,12.7
815,14.867
816,19.9
817,14
818,14.767
819,15.833
820,17.8
821,10.9
822,7.95
823,7.167
824,7.2
825,8.067
826,8.5
827,8.867
828,8.967
829,17.367
830,26.25
831,25.967
832,25.033
833,24.4
834,23.467
835,22.7
836,22.25
837,22
838,21.6
839,21
840,20.433
841,19.9
842,19.3
843,18.767
844,18.3
845,18.2
846,18.633
847,19.567
848,20.733
849,22.3
850,23.4
851,24.733
852,25.9
853,26.733
854,26.933
855,26.633
856,25.833
857,25.05
858,24.367
859,23.633
860,22.867
861,22.167
862,21.6
863,21.033
864,20.4
865,19.9
866,19.367
867,18.933
868,18.567
869,13.45
870,14.733
871,11.433
872,7.733
873,8.367
874,9.15
875,9.4
876,10.067
877,19.133
878,27.233
879,27.4
880,26.3
881,25.35
882,24.567
883,23.5
884,22.8
885,22.567
886,22.267
887,21.9
888,21.533
889,21.033
890,20.6
891,20.167
892,19.767
893,16
894,15.2
895,7.967
896,14.633
897,24.85
898,25.167
899,25.9
900,26.3
901,21.033
902,9.4
903,8.767
904,12.267
905,8.733
906,14.1
907,8.367
908,17.233
909,22.8
910,24.45
911,24.133
912,23.3
913,22.433
914,21.8
915,21.2
916,20.033
917,19.433
918,19.567
919,20.2
920,21.4
921,22.65
922,23.9
923,25.3
924,26.333
925,27.033
926,26.867
927,26.2
928,25.233
929,24.55
930,23.867
931,23.1
932,22.567
933,22.367
934,21.967
935,21.55
936,21.067
937,20.7
938,20.367
939,20
940,19.6
941,19.6
942,19.867
943,20.6
944,21.7
945,22.95
946,24.15
947,25.267
948,26.133
949,26.467
950,25.967
951,25.25
952,24.433
953,23.433
954,22.7
955,22.1
956,21.75
957,21.667
958,21.4
959,21.1
960,20.7
961,20.45
962,20.2
963,19.8
964,19.533
965,19.533
966,19.8
967,20.35
968,21.133
969,22.2
970,23.2
971,24.2
972,24.85
973,25.567
974,25.667
975,25.233
976,24.3
977,23.65
978,23
979,22.2
980,21.7
981,21.533
982,21.35
983,21.133
984,20.8
985,20.533
986,20.25
