Date,number_sold
01/01/2010,801
02/01/2010,810
03/01/2010,818
04/01/2010,796
05/01/2010,808
06/01/2010,812
07/01/2010,830
08/01/2010,812
09/01/2010,817
10/01/2010,832
11/01/2010,834
12/01/2010,826
13/01/2010,822
14/01/2010,811
15/01/2010,836
16/01/2010,841
17/01/2010,818
18/01/2010,827
19/01/2010,822
20/01/2010,817
21/01/2010,834
22/01/2010,825
23/01/2010,821
24/01/2010,840
25/01/2010,812
26/01/2010,835
27/01/2010,833
28/01/2010,833
29/01/2010,833
30/01/2010,840
31/01/2010,826
01/02/2010,835
02/02/2010,822
03/02/2010,833
04/02/2010,835
05/02/2010,843
06/02/2010,833
07/02/2010,839
08/02/2010,839
09/02/2010,855
10/02/2010,840
11/02/2010,849
12/02/2010,845
13/02/2010,861
14/02/2010,853
15/02/2010,844
16/02/2010,842
17/02/2010,846
18/02/2010,843
19/02/2010,843
20/02/2010,849
21/02/2010,858
22/02/2010,870
23/02/2010,855
24/02/2010,837
25/02/2010,856
26/02/2010,846
27/02/2010,853
28/02/2010,860
01/03/2010,848
02/03/2010,861
03/03/2010,848
04/03/2010,868
05/03/2010,861
06/03/2010,846
07/03/2010,868
08/03/2010,850
09/03/2010,879
10/03/2010,876
11/03/2010,846
12/03/2010,864
13/03/2010,860
14/03/2010,867
15/03/2010,867
16/03/2010,871
17/03/2010,872
18/03/2010,857
19/03/2010,872
20/03/2010,860
21/03/2010,873
22/03/2010,866
23/03/2010,875
24/03/2010,874
25/03/2010,870
26/03/2010,864
27/03/2010,854
28/03/2010,883
29/03/2010,862
30/03/2010,866
31/03/2010,875
01/04/2010,852
02/04/2010,873
03/04/2010,850
04/04/2010,854
05/04/2010,863
06/04/2010,871
07/04/2010,848
08/04/2010,880
09/04/2010,883
10/04/2010,877
11/04/2010,877
12/04/2010,873
13/04/2010,863
14/04/2010,855
15/04/2010,844
16/04/2010,864
17/04/2010,864
18/04/2010,857
19/04/2010,866
20/04/2010,865
21/04/2010,867
22/04/2010,862
23/04/2010,862
24/04/2010,852
25/04/2010,864
26/04/2010,865
27/04/2010,865
28/04/2010,841
29/04/2010,875
30/04/2010,861
01/05/2010,854
02/05/2010,876
03/05/2010,855
04/05/2010,872
05/05/2010,850
06/05/2010,858
07/05/2010,843
08/05/2010,849
09/05/2010,843
10/05/2010,857
11/05/2010,859
12/05/2010,866
13/05/2010,872
14/05/2010,860
15/05/2010,874
16/05/2010,867
17/05/2010,857
18/05/2010,842
19/05/2010,834
20/05/2010,843
21/05/2010,843
22/05/2010,832
23/05/2010,846
24/05/2010,828
25/05/2010,840
26/05/2010,836
27/05/2010,859
28/05/2010,845
