date,ncumul_conf
01/01/2020,1
02/01/2020,1
03/01/2020,1
04/01/2020,1
05/01/2020,4
06/01/2020,5
07/01/2020,5
08/01/2020,5
09/01/2020,5
10/01/2020,5
11/01/2020,5
12/01/2020,5
13/01/2020,5
14/01/2020,5
15/01/2020,5
16/01/2020,5
17/01/2020,5
18/01/2020,5
19/01/2020,5
20/01/2020,5
21/01/2020,5
22/01/2020,5
23/01/2020,5
24/01/2020,5
25/01/2020,5
26/01/2020,5
27/01/2020,5
28/01/2020,5
29/01/2020,5
30/01/2020,5
31/01/2020,6
01/02/2020,5
02/02/2020,5
03/02/2020,5
04/02/2020,5
05/02/2020,5
06/02/2020,5
07/02/2020,5
08/02/2020,5
09/02/2020,5
10/02/2020,5
11/02/2020,5
12/02/2020,5
13/02/2020,5
14/02/2020,5
15/02/2020,5
16/02/2020,5
17/02/2020,5
18/02/2020,5
19/02/2020,5
20/02/2020,5
21/02/2020,5
22/02/2020,5
23/02/2020,5
24/02/2020,0
24/02/2020,5
25/02/2020,0
25/02/2020,5
26/02/2020,1
26/02/2020,2
26/02/2020,6
27/02/2020,1
27/02/2020,
27/02/2020,2
27/02/2020,7
28/02/2020,1
28/02/2020,3
28/02/2020,6
28/02/2020,
28/02/2020,10
28/02/2020,2
29/02/2020,2
29/02/2020,4
29/02/2020,0
29/02/2020,6
29/02/2020,1
29/02/2020,
29/02/2020,14
29/02/2020,3
01/03/2020,2
01/03/2020,4
01/03/2020,1
01/03/2020,6
01/03/2020,3
01/03/2020,
01/03/2020,0
01/03/2020,15
01/03/2020,7
02/03/2020,6
02/03/2020,4
02/03/2020,2
02/03/2020,9
02/03/2020,1
02/03/2020,
02/03/2020,0
02/03/2020,16
02/03/2020,7
02/03/2020,10
03/03/2020,7
03/03/2020,4
03/03/2020,2
03/03/2020,9
03/03/2020,1
03/03/2020,8
03/03/2020,
03/03/2020,18
03/03/2020,13
03/03/2020,3
04/03/2020,14
04/03/2020,6
04/03/2020,4
04/03/2020,12
04/03/2020,1
04/03/2020,8
04/03/2020,3
04/03/2020,13
04/03/2020,
04/03/2020,5
04/03/2020,20
04/03/2020,10
04/03/2020,15
05/03/2020,1
05/03/2020,19
05/03/2020,9
05/03/2020,6
05/03/2020,14
05/03/2020,2
05/03/2020,25
05/03/2020,
05/03/2020,11
05/03/2020,23
05/03/2020,8
06/03/2020,1
06/03/2020,28
06/03/2020,17
06/03/2020,7
06/03/2020,16
06/03/2020,3
06/03/2020,13
06/03/2020,6
06/03/2020,23
06/03/2020,34
06/03/2020,12
06/03/2020,15
06/03/2020,29
06/03/2020,4
07/03/2020,1
07/03/2020,18
07/03/2020,7
07/03/2020,17
07/03/2020,4
07/03/2020,8
07/03/2020,41
07/03/2020,30
07/03/2020,46
07/03/2020,14
07/03/2020,3
07/03/2020,21
07/03/2020,34
08/03/2020,1
08/03/2020,30
08/03/2020,18
08/03/2020,7
08/03/2020,4
08/03/2020,24
08/03/2020,5
08/03/2020,49
08/03/2020,40
08/03/2020,14
08/03/2020,3
09/03/2020,2
09/03/2020,34
09/03/2020,21
09/03/2020,9
09/03/2020,18
09/03/2020,5
09/03/2020,10
09/03/2020,27
09/03/2020,13
09/03/2020,61
09/03/2020,51
09/03/2020,1
09/03/2020,63
09/03/2020,15
09/03/2020,28
09/03/2020,49
10/03/2020,41
10/03/2020,25
10/03/2020,12
10/03/2020,1
10/03/2020,22
10/03/2020,6
10/03/2020,11
10/03/2020,31
10/03/2020,14
10/03/2020,5
10/03/2020,75
10/03/2020,130
10/03/2020,23
10/03/2020,83
10/03/2020,18
10/03/2020,10
10/03/2020,33
10/03/2020,62
11/03/2020,57
11/03/2020,40
11/03/2020,16
11/03/2020,1
11/03/2020,31
11/03/2020,6
11/03/2020,12
11/03/2020,37
11/03/2020,4
11/03/2020,22
11/03/2020,5
11/03/2020,108
11/03/2020,203
11/03/2020,30
11/03/2020,3
11/03/2020,115
11/03/2020,20
11/03/2020,11
11/03/2020,49
11/03/2020,101
12/03/2020,5
12/03/2020,80
12/03/2020,52
12/03/2020,22
12/03/2020,3
12/03/2020,43
12/03/2020,9
12/03/2020,16
12/03/2020,46
12/03/2020,30
12/03/2020,1
12/03/2020,7
12/03/2020,163
12/03/2020,2
12/03/2020,277
12/03/2020,55
12/03/2020,4
12/03/2020,156
12/03/2020,27
12/03/2020,11
12/03/2020,73
12/03/2020,140
13/03/2020,90
13/03/2020,75
13/03/2020,28
13/03/2020,6
13/03/2020,53
13/03/2020,10
13/03/2020,21
13/03/2020,59
13/03/2020,5
13/03/2020,39
13/03/2020,1
13/03/2020,8
13/03/2020,206
13/03/2020,370
13/03/2020,71
13/03/2020,226
13/03/2020,30
13/03/2020,11
13/03/2020,9
13/03/2020,92
13/03/2020,163
14/03/2020,2
14/03/2020,110
14/03/2020,83
14/03/2020,35
14/03/2020,8
14/03/2020,56
14/03/2020,15
14/03/2020,23
14/03/2020,68
14/03/2020,5
14/03/2020,46
14/03/2020,1
14/03/2020,11
14/03/2020,265
14/03/2020,477
14/03/2020,92
14/03/2020,7
14/03/2020,341
14/03/2020,33
14/03/2020,13
14/03/2020,100
14/03/2020,218
15/03/2020,130
15/03/2020,97
15/03/2020,39
15/03/2020,10
15/03/2020,71
15/03/2020,16
15/03/2020,29
15/03/2020,74
15/03/2020,8
15/03/2020,49
15/03/2020,1
15/03/2020,13
15/03/2020,293
15/03/2020,566
15/03/2020,104
15/03/2020,7
15/03/2020,419
15/03/2020,43
15/03/2020,
15/03/2020,250
16/03/2020,4
16/03/2020,198
16/03/2020,130
16/03/2020,44
16/03/2020,10
16/03/2020,84
16/03/2020,19
16/03/2020,37
16/03/2020,93
16/03/2020,77
16/03/2020,2
16/03/2020,20
16/03/2020,368
16/03/2020,797
16/03/2020,163
16/03/2020,12
16/03/2020,542
16/03/2020,56
16/03/2020,143
16/03/2020,326
17/03/2020,5
17/03/2020,252
17/03/2020,155
17/03/2020,58
17/03/2020,12
17/03/2020,101
17/03/2020,26
17/03/2020,50
17/03/2020,114
17/03/2020,106
17/03/2020,2
17/03/2020,29
17/03/2020,426
17/03/2020,1041
17/03/2020,216
17/03/2020,19
17/03/2020,688
17/03/2020,69
17/03/2020,164
17/03/2020,429
18/03/2020,11
18/03/2020,314
18/03/2020,194
18/03/2020,85
18/03/2020,14
18/03/2020,128
18/03/2020,27
18/03/2020,146
18/03/2020,18
18/03/2020,133
18/03/2020,8
18/03/2020,44
18/03/2020,511
18/03/2020,5
18/03/2020,1304
18/03/2020,299
18/03/2020,28
18/03/2020,895
18/03/2020,96
18/03/2020,33
18/03/2020,181
18/03/2020,568
18/03/2020,65
19/03/2020,6
19/03/2020,366
19/03/2020,227
19/03/2020,108
19/03/2020,16
19/03/2020,182
19/03/2020,32
19/03/2020,79
19/03/2020,175
19/03/2020,25
19/03/2020,153
19/03/2020,12
19/03/2020,51
19/03/2020,638
19/03/2020,7
19/03/2020,1515
19/03/2020,336
19/03/2020,28
19/03/2020,1118
19/03/2020,134
19/03/2020,37
19/03/2020,220
19/03/2020,679
20/03/2020,427
20/03/2020,276
20/03/2020,142
20/03/2020,20
20/03/2020,226
20/03/2020,38
20/03/2020,189
20/03/2020,28
20/03/2020,192
20/03/2020,17
20/03/2020,59
20/03/2020,1754
20/03/2020,431
20/03/2020,37
20/03/2020,1285
20/03/2020,175
20/03/2020,849
20/03/2020,48
20/03/2020,98
20/03/2020,270
20/03/2020,7
20/03/2020,711
20/03/2020,66
21/03/2020,
21/03/2020,469
21/03/2020,301
21/03/2020,166
21/03/2020,25
21/03/2020,258
21/03/2020,49
21/03/2020,200
21/03/2020,33
21/03/2020,201
21/03/2020,28
21/03/2020,73
21/03/2020,1873
