date,value
01/01/2019,93.37
01/01/2019,61.32
01/01/2019,73.37
01/01/2019,67.33
01/01/2019,79.31
01/01/2019,71.7
01/01/2019,64.65
01/01/2019,71.21
01/01/2019,75.07
01/01/2019,60.77
01/01/2019,72.5
01/01/2019,61.64
01/01/2019,59.4
01/01/2019,75.09
01/01/2019,83.8
01/01/2019,75.6
01/01/2019,89.43
01/01/2019,81.2
01/01/2019,64.55
01/01/2019,84.33
01/01/2019,68.86
01/01/2019,80.48
01/01/2019,68.39
01/01/2019,68.57
01/01/2019,70.11
01/01/2019,56.69
01/01/2019,86.05
01/01/2019,68.66
01/01/2019,72.3
01/01/2019,59.33
01/01/2019,61.94
01/01/2019,78.47
01/01/2019,52.53
01/01/2019,59.84
01/01/2019,63.95
01/01/2019,81.62
01/01/2019,74.85
01/01/2019,86.51
01/01/2019,75.59
01/01/2019,74.9
01/01/2019,57.35
01/01/2019,81.25
01/01/2019,91.04
01/01/2019,57.68
01/01/2019,63.54
01/01/2019,76.98
01/01/2019,71.52
01/01/2019,69.37
01/01/2019,74.46
01/01/2019,67.14
01/01/2019,77.39
01/01/2019,65.76
01/01/2019,77.92
01/01/2019,62.56
01/01/2019,51.56
01/01/2019,73.09
01/01/2019,80.74
01/01/2019,55.76
01/01/2019,67.31
01/01/2019,65.59
01/01/2019,65.42
01/01/2019,77.67
01/01/2019,71.26
01/01/2019,61.85
01/01/2019,69.66
01/01/2019,60.27
01/01/2019,78.17
01/01/2019,68.63
01/01/2019,61.37
01/01/2019,70.92
01/01/2019,72.95
01/01/2019,76.79
01/01/2019,77.37
01/01/2019,64.69
01/01/2019,63.63
01/01/2019,65.15
01/01/2019,65.05
01/01/2020,89.36
01/01/2020,51.53
01/01/2020,66.07
01/01/2020,59.71
01/01/2020,73.47
01/01/2020,64.63
01/01/2020,57.93
01/01/2020,63.97
01/01/2020,71.1
01/01/2020,58.63
01/01/2020,69.55
01/01/2020,58.37
01/01/2020,55.42
01/01/2020,72.78
01/01/2020,81.92
01/01/2020,69.52
01/01/2020,85.81
01/01/2020,72.6
01/01/2020,70.35
01/01/2020,83.21
01/01/2020,76.36
01/01/2020,72.26
01/01/2020,59.86
01/01/2020,67.12
01/01/2020,65.73
01/01/2020,49.25
01/01/2020,87.71
01/01/2020,67.53
01/01/2020,67.6
01/01/2020,52.8
01/01/2020,58.98
