SN,Average
0,37.5
1,29
2,20.5
3,15.5
4,29
5,32.5
6,8
7,32.5
8,37.5
9,27.5
10,17
11,21
12,22.5
13,57.5
14,27.5
15,65
16,15
17,17.5
18,32.5
19,27.5
20,22.5
21,47.5
22,19
23,32.5
24,47.5
25,22.5
26,39
27,47.5
28,52.5
29,57.5
30,42.5
31,57.5
32,42.5
33,155
34,125
35,55
36,75
37,37.5
38,37.5
39,75
40,57.5
41,125
42,185
43,75
44,125
45,42.5
46,67.5
47,55
48,57.5
49,185
50,110
51,75
52,300
53,210
54,55
55,255
56,16.5
57,95
58,65
59,27.5
60,22.5
61,65
62,55
63,145
64,175
65,35
66,57.5
67,47.5
68,100
69,105
70,55
71,75
72,75
73,215
74,27.5
75,22.5
76,20.5
77,15.5
78,29.5
79,37.5
80,8
81,27.5
82,37.5
83,32.5
84,19
85,27.5
86,22.5
87,57.5
88,32.5
89,57.5
90,18
91,19
92,32.5
93,32.5
94,17.5
95,47.5
96,19
97,22.5
98,20
99,37.5
100,42.5
101,47.5
102,42.5
103,37.5
104,42.5
105,42.5
106,190
107,125
108,55
109,75
110,37.5
111,47.5
112,65
113,47.5
114,125
115,185
116,42.5
117,125
118,47.5
119,67.5
120,55
121,57.5
122,195
123,120
124,75
125,300
126,210
127,55
128,255
129,15
130,95
131,65
132,27.5
133,22.5
134,65
135,65
136,145
137,175
138,35
139,57.5
140,47.5
141,95
142,105
143,55
144,75
145,55
146,215
147,27.5
148,24
149,19.5
150,15.5
151,34
152,37.5
153,9
154,27.5
155,37.5
156,32.5
157,22.5
158,27.5
159,27.5
160,57.5
161,32.5
162,57.5
163,19
164,23
165,32.5
166,32.5
167,22.5
168,19
169,19
170,47.5
171,22.5
172,42.5
173,42.5
174,47.5
175,47.5
176,37.5
177,42.5
178,37.5
179,190
180,110
181,55
182,75
183,37.5
184,37.5
185,55
186,37.5
187,125
188,190
189,42.5
190,125
191,47.5
192,67.5
193,55
194,57.5
195,185
196,115
197,75
198,300
199,210
200,55
201,255
202,13.5
203,95
204,65
205,27.5
206,22.5
207,57.5
208,55
209,145
210,175
211,37.5
212,57.5
213,47.5
214,95
215,105
216,55
217,75
218,55
219,215
220,27.5
221,26
222,20.5
223,15.5
224,34.5
225,40
226,12.5
227,27.5
228,37.5
229,32.5
230,24
231,27.5
232,27.5
233,57.5
234,32.5
235,57.5
236,22.5
237,19
238,32.5
239,27.5
240,22.5
241,42.5
242,19
243,17.5
244,47.5
245,37.5
246,37.5
247,42.5
248,42.5
249,42.5
250,37.5
251,42.5
252,42.5
253,190
254,112.5
255,45
256,75
257,47.5
258,75
259,57.5
260,125
261,185
262,47.5
263,125
264,47.5
265,67.5
266,55
267,57.5
268,185
269,115
270,75
271,300
272,210
273,55
274,255
275,15
276,95
277,75
278,32.5
279,22.5
280,62.5
281,55
282,145
283,175
284,37.5
285,57.5
286,47.5
287,95
288,105
289,55
290,75
291,55
292,215
293,27.5
294,24
295,20.5
296,15.5
297,35.5
298,41
299,12.5
300,22.5
301,37.5
302,30
303,22.5
304,27.5
305,32.5
306,57.5
307,35
308,52.5
309,22.5
310,22.5
311,32.5
312,32.5
313,22.5
314,47.5
315,19
316,17.5
317,42.5
318,37.5
319,37.5
320,42.5
321,47.5
322,47.5
323,37.5
324,47.5
325,37.5
326,210
327,110
328,55
329,75
330,37.5
331,47.5
332,75
333,47.5
334,125
335,175
336,47.5
337,125
338,55
339,67.5
340,55
341,57.5
342,185
343,115
344,75
345,300
346,195
347,55
348,255
349,15
350,95
351,65
352,32.5
353,22.5
354,55
355,55
356,145
357,175
358,45
359,52.5
360,42.5
361,55
362,105
363,55
364,75
365,75
366,215
367,27.5
368,17.5
369,21.5
370,16.5
371,34.5
372,42.5
373,10
374,22
375,37.5
376,27.5
377,20
378,27.5
379,32.5
380,57.5
381,37.5
382,57.5
383,20
384,21
385,32.5
386,37.5
387,20
