SNo,Confirmed
1,1
2,14
3,6
4,1
5,0
6,26
7,2
8,1
9,4
10,1
11,0
12,5
13,0
14,444
15,4
16,0
17,1
18,2
19,0
20,2
21,1
22,1
23,0
24,0
25,2
26,9
27,1
28,5
29,1
30,4
31,0
32,1
33,0
34,1
35,10
36,2
37,4
38,1
39,0
40,0
41,9
42,22
43,9
44,5
45,2
46,32
47,5
48,3
49,5
50,444
51,2
52,5
53,2
54,444
55,9
56,0
57,5
58,7
59,1
60,3
61,2
62,1
63,0
64,3
65,6
66,16
67,1
68,8
69,1
70,4
71,0
72,1
73,2
74,2
75,27
76,1
77,4
78,1
79,1
80,0
81,0
82,2
83,0
84,0
85,0
86,0
87,0
88,0
89,549
90,53
91,43
92,36
93,27
94,24
95,23
96,20
97,18
98,15
99,15
100,15
101,10
102,9
103,9
104,8
105,8
106,5
107,5
108,4
109,4
110,3
111,3
112,3
113,2
114,2
115,2
116,2
117,2
118,2
119,1
120,1
121,0
122,1
123,1
124,2
125,5
126,2
127,3
128,2
129,2
130,0
131,0
132,761
133,78
134,62
135,57
136,43
137,41
138,39
139,33
140,32
141,28
142,27
143,23
144,19
145,18
146,18
147,18
148,17
149,15
150,11
151,10
152,9
153,8
154,7
155,6
156,5
157,4
158,4
159,4
160,3
161,3
162,3
163,2
164,1
165,1
166,1
167,2
168,6
169,2
170,3
171,2
172,3
173,4
174,1
175,3
176,0
177,0
178,1058
179,111
180,104
181,83
182,75
183,69
184,68
185,60
186,46
187,44
188,40
189,36
190,36
191,35
192,33
193,22
194,22
195,21
196,16
197,15
198,14
199,13
200,9
201,8
202,7
203,7
204,5
205,5
206,4
207,4
208,4
209,4
210,1
211,1
212,1
213,2
214,1
215,4
216,8
217,3
218,4
219,2
220,3
221,4
222,1
223,4
224,1
225,0
226,0
227,1423
228,151
229,128
230,128
231,110
232,100
233,80
234,75
235,72
236,70
237,69
238,59
239,53
240,47
241,46
242,35
243,33
244,27
245,26
246,23
247,21
248,18
249,14
250,13
251,11
252,8
253,7
254,7
255,6
256,6
257,6
258,5
259,5
260,1
261,1
262,2
263,1
264,4
265,8
266,4
267,5
268,2
269,3
270,1
271,4
272,1
273,1
274,1
275,1
276,4
277,1
278,0
279,0
280,3554
281,207
282,173
283,168
284,143
285,132
286,109
287,106
288,95
289,91
290,90
291,80
292,70
293,66
294,51
295,46
296,44
297,40
298,34
299,33
300,33
301,27
302,24
303,19
304,15
305,11
306,10
307,9
308,8
309,8
310,8
311,7
312,6
313,1
314,1
315,2
316,1
317,7
318,14
319,4
320,7
321,2
322,4
323,1
324,4
325,1
326,1
327,1
328,1
329,4
330,1
331,4
332,0
333,0
334,3554
335,296
336,277
337,221
338,206
339,152
340,147
341,130
342,111
343,109
344,108
345,99
346,96
347,84
348,58
349,56
350,55
351,48
352,43
353,39
354,38
355,27
356,27
357,24
358,16
359,13
360,12
361,10
362,9
363,9
364,8
365,7
366,6
367,1
368,1
369,2
370,1
371,7
372,14
373,4
374,7
375,2
376,5
377,1
378,7
379,1
380,1
381,1
382,1
383,4
384,1
385,4
386,1
387,4
388,0
389,0
390,4903
391,428
392,354
393,278
394,277
395,200
396,182
397,162
398,158
399,142
400,129
401,114
402,112
403,101
404,78
405,70
406,65
407,63
408,46
409,44
410,41
411,35
412,31
413,26
414,19
415,17
416,14
417,14
418,12
419,10
420,9
421,8
422,7
423,1
424,1
425,1
426,2
427,1
428,11
429,14
430,4
431,10
432,2
433,5
434,1
435,8
436,2
437,1
438,1
439,1
440,4
441,2
442,3
443,4
444,1
445,4
446,1
447,1
448,0
449,0
450,5806
451,538
452,436
453,352
454,332
455,240
456,237
457,211
458,184
459,177
460,168
461,139
462,135
463,120
464,87
465,87
466,83
467,82
468,59
469,52
470,48
471,39
472,32
473,29
474,29
475,21
476,20
477,17
478,14
479,12
480,10
481,8
482,7
483,1
484,19
485,15
486,13
487,11
488,8
489,5
490,5
491,4
492,4
493,3
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,0
514,7153
515,599
516,535
517,422
518,389
519,297
520,286
521,247
522,207
523,206
524,202
525,169
526,168
527,144
528,101
529,100
530,96
531,93
532,80
533,64
534,62
535,47
536,41
537,40
538,29
539,26
540,23
541,20
542,19
543,18
544,17
545,16
546,13
547,12
548,10
549,9
550,8
551,8
552,7
553,6
554,6
555,4
556,4
557,4
558,3
559,3
560,2
561,2
562,2
563,2
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,0
582,0
583,11177
584,661
585,632
586,493
587,463
588,340
589,333
590,300
591,236
592,231
593,230
