No,Iws
1,1.79
2,4.92
3,6.71
4,9.84
5,12.97
6,16.1
7,19.23
8,21.02
9,24.15
10,27.28
11,31.3
12,34.43
13,37.56
14,40.69
15,43.82
16,0.89
17,1.79
18,2.68
19,1.79
20,1.79
21,0.89
22,1.79
23,2.68
24,0.89
25,1.79
26,2.68
27,3.57
28,5.36
29,6.25
30,7.14
31,8.93
32,10.72
33,12.51
34,14.3
35,17.43
36,20.56
37,23.69
38,27.71
39,31.73
40,35.75
41,37.54
42,39.33
43,42.46
44,44.25
45,46.04
46,49.17
47,52.3
48,55.43
49,58.56
50,61.69
51,65.71
52,68.84
53,72.86
54,76.88
55,80.9
56,84.92
57,89.84
58,93.86
59,97.88
60,102.8
61,105.93
62,111.74
63,116.66
64,121.58
65,124.71
66,127.84
67,0.89
68,1.78
69,4.02
70,7.15
71,11.17
72,14.3
73,16.09
74,21.9
75,29.95
76,39.78
77,48.72
78,55.87
79,64.81
80,73.75
81,80.9
82,90.73
83,100.56
84,108.61
85,117.55
86,127.38
87,136.32
88,145.26
89,152.41
90,159.56
91,165.37
92,171.18
93,180.12
94,187.27
95,195.32
96,198.45
97,201.58
98,205.6
99,208.73
100,213.65
101,218.57
102,4.92
103,8.05
104,13.86
105,18.78
106,24.59
107,29.51
108,34.43
109,39.35
110,41.14
111,0.89
112,1.79
113,3.58
114,5.37
115,7.16
116,10.29
117,13.42
118,16.55
119,20.57
120,23.7
121,26.83
122,4.02
123,8.04
124,13.85
125,17.87
126,23.68
127,28.6
128,33.52
129,39.33
130,44.25
131,50.06
132,54.98
133,59
134,4.02
135,5.81
136,0.89
137,1.79
138,3.58
139,5.37
140,0.89
141,1.79
142,3.58
143,5.37
144,7.16
145,8.95
146,0.45
147,1.34
148,4.02
149,7.15
150,10.28
151,14.3
152,4.92
153,4.02
154,8.94
155,12.96
156,16.09
157,19.22
158,21.01
159,22.8
160,24.59
161,26.38
162,28.17
163,0.89
164,1.79
165,1.79
166,0.45
167,1.34
168,2.23
169,1.79
170,3.58
171,0.89
172,0.89
173,0.45
174,1.34
175,1.79
176,0.89
177,0.89
178,1.78
179,0.89
180,0.89
181,3.13
182,4.92
183,0.89
184,1.78
185,2.67
186,0.89
187,0.45
188,1.34
189,1.79
190,1.79
191,4.92
192,6.71
193,0.89
194,3.13
195,4.92
196,8.05
197,9.84
198,13.86
199,17.88
200,21.9
201,25.92
202,5.81
203,11.62
204,17.43
205,23.24
206,28.16
207,33.08
208,37.1
209,38.89
210,1.79
211,3.13
212,3.13
213,4.92
214,3.13
215,0.45
216,0.9
217,0.89
218,1.78
219,4.91
220,8.04
221,9.83
222,12.96
223,16.09
224,19.22
225,22.35
226,24.14
227,4.02
228,3.13
229,6.26
230,9.39
231,12.52
232,14.31
233,16.1
234,19.23
235,23.25
236,27.27
237,30.4
238,35.32
239,44.26
240,52.31
241,60.36
242,0.89
243,4.02
244,8.94
245,4.02
246,3.13
247,4.92
248,5.81
249,13.86
250,21.91
251,29.06
252,33.08
253,42.02
254,50.96
255,59.01
256,66.16
257,71.97
258,76.89
259,81.81
260,85.83
261,89.85
262,91.64
263,93.43
264,0.89
265,1.78
266,1.79
267,0.89
268,1.79
269,3.58
270,3.13
271,7.15
272,12.96
273,16.98
274,21
275,26.81
276,35.75
277,47.82
278,63.02
279,75.98
280,88.05
281,101.01
282,109.06
283,118
284,126.05
285,134.1
286,142.15
287,150.2
288,160.03
289,169.86
290,178.8
291,189.98
292,198.03
293,205.18
294,215.01
295,226.19
296,235.13
297,243.18
298,252.12
299,257.93
300,263.74
301,270.89
302,278.94
303,286.99
304,294.14
305,299.06
306,1.79
307,0.45
308,1.34
309,1.79
310,0.89
311,1.78
312,0.89
313,1.78
314,2.67
315,0.89
316,1.78
317,3.57
318,6.7
319,10.72
320,13.85
321,15.64
322,18.77
323,22.79
324,24.58
325,26.37
326,28.16
327,29.95
328,33.08
329,0.89
330,1.79
331,5.81
332,11.62
333,20.56
334,24.58
335,3.13
336,8.05
337,13.86
338,5.81
339,11.62
340,14.75
341,19.67
342,7.15
343,12.96
344,18.77
345,22.79
346,28.6
347,35.75
348,41.56
349,45.58
350,1.79
351,0.89
352,1.78
353,2.23
354,0.89
355,0.89
356,1.78
357,1.79
358,3.58
359,0.89
360,1.78
361,2.67
362,0.89
363,0.89
364,0.89
365,1.78
366,1.79
367,2.68
368,4.47
369,6.26
370,8.05
371,9.84
372,0.89
373,1.79
374,0.89
375,1.78
376,2.67
377,3.56
378,0.89
379,0.89
380,1.78
381,2.23
382,3.12
383,0.89
384,2.68
385,5.81
386,0.45
387,1.34
388,1.79
389,3.58
390,6.71
391,9.84
392,11.63
393,14.76
394,17.89
395,0.45
396,1.34
397,2.23
398,3.12
399,4.01
400,4.46
401,0.89
402,1.78
403,2.67
404,0.89
405,0.45
406,0.9
407,1.35
408,0.89
409,0.89
410,3.13
411,4.92
412,6.71
413,7.6
414,1.79
415,0.89
416,4.02
417,5.81
418,9.83
419,11.62
420,13.41
421,15.2
422,16.99
423,1.79
424,0.89
425,0.89
426,2.68
427,0.89
428,0.89
429,0.89
430,1.79
431,3.58
432,0.89
433,1.79
434,4.92
435,6.71
436,8.5
437,10.29
438,11.18
439,12.07
440,13.86
441,0.89
442,1.79
443,0.89
444,1.79
445,0.89
446,1.34
447,0.89
448,0.45
449,1.34
450,0.89
451,0.89
452,1.79
453,4.92
454,6.71
455,8.5
456,11.63
457,14.76
458,16.55
459,19.68
460,25.49
461,28.62
462,31.75
463,36.67
464,41.59
465,48.74
466,55.89
467,63.04
468,71.09
469,78.24
470,8.05
471,7.15
472,5.81
473,5.81
474,12.96
475,21.01
476,28.16
477,37.99
478,46.93
479,55.87
480,65.7
481,75.53
482,85.36
483,95.19
484,103.24
485,111.29
486,118.44
487,128.27
488,138.1
489,147.04
490,155.98
491,160.9
492,3.13
493,4.02
494,3.13
495,1.79
496,1.79
497,4.92
498,10.73
499,15.65
500,21.46
501,25.48
502,0.89
503,1.79
504,3.58
505,7.6
506,17.43
507,27.26
508,35.31
509,42.46
510,48.27
511,54.08
512,59
513,63.92
514,67.94
515,75.09
516,84.03
517,95.21
518,105.04
519,114.87
520,124.7
521,133.64
522,139.45
523,144.37
524,149.29
525,153.31
526,159.12
527,164.04
528,168.06
529,172.08
530,0.89
531,4.92
532,8.05
533,12.97
534,16.1
535,20.12
536,24.14
537,25.93
538,30.85
539,38.9
540,46.95
541,55
542,63.05
543,71.1
544,79.15
545,86.3
546,91.22
547,96.14
548,100.16
549,1.79
550,0.89
551,1.79
552,4.92
553,6.71
554,0.45
555,1.79
556,3.58
557,4.47
558,0.89
559,0.89
560,0.89
561,1.79
562,0.89
563,1.78
564,2.67
565,4.02
566,13.85
567,22.79
568,32.62
569,40.67
570,49.61
571,61.68
572,76.88
573,89.84
574,98.78
575,113.98
576,129.18
577,141.25
578,150.19
579,162.26
580,172.09
581,181.92
582,187.73
583,192.65
584,196.67
585,201.59
586,207.4
587,216.34
588,222.15
589,230.2
590,238.25
591,245.4
592,252.55
593,257.47
594,4.02
595,7.15
596,10.28
597,12.07
598,15.2
599,0.89
600,3.13
601,0.89
602,1.78
603,2.23
604,3.12
605,3.13
606,4.92
607,6.71
608,8.5
609,1.79
610,4.02
611,5.81
612,0.89
613,1.79
614,3.58
615,0.89
616,1.79
617,4.92
618,5.81
619,6.7
620,0.89
621,0.89
622,1.79
623,0.89
624,1.79
625,3.58
626,5.37
627,7.16
628,10.29
629,12.08
630,15.21
631,17
632,18.79
633,3.13
634,6.26
635,9.39
636,1.79
637,4.92
638,8.05
639,16.1
640,24.15
641,32.2
642,39.35
643,47.4
644,52.32
645,56.34
646,62.15
647,67.96
648,71.98
649,76.9
650,7.15
651,12.07
652,16.09
653,21.01
654,25.03
655,3.13
656,8.05
657,12.97
658,20.12
659,25.93
660,35.76
661,44.7
662,53.64
663,62.58
664,72.41
665,82.24
666,91.18
667,99.23
668,103.25
669,105.04
670,0.89
671,4.02
672,7.15
673,12.07
674,15.2
675,0.89
676,1.79
677,0.89
678,1.79
679,0.89
680,4.02
681,9.83
682,17.88
683,26.82
684,33.97
685,42.02
686,50.07
687,57.22
688,65.27
689,72.42
690,78.23
691,84.04
692,89.85
693,93.87
694,97.89
695,101.02
696,105.94
697,109.96
698,114.88
699,1.79
700,0.89
701,4.02
702,8.94
703,0.89
704,3.13
705,0.89
706,4.02
707,8.04
708,12.96
709,18.77
710,25.92
711,35.75
712,45.58
713,52.73
714,58.54
715,64.35
716,70.16
717,74.18
718,78.2
719,81.33
720,84.46
721,87.59
722,90.72
723,93.85
724,95.64
725,99.66
726,105.47
727,109.49
728,113.51
729,116.64
730,120.66
731,129.6
732,138.54
733,145.69
734,4.02
735,7.15
736,0.89
737,1.79
738,3.58
739,1.79
740,2.68
741,0.89
742,5.81
743,10.73
744,13.86
745,15.65
746,0.89
747,1.78
748,0.89
749,0.89
750,0.89
751,0.89
752,0.89
753,0.89
754,1.79
755,0.89
756,1.79
757,6.71
758,10.73
759,14.75
760,16.54
761,19.67
762,21.46
763,23.25
764,26.38
765,30.4
766,34.42
767,39.34
768,41.13
769,42.92
770,0.89
771,1.34
772,1.79
773,0.89
774,0.89
775,0.89
776,0.89
777,1.79
778,4.92
779,10.73
780,14.75
781,16.54
782,18.33
783,1.79
784,2.68
785,3.57
786,1.79
787,3.13
788,4.02
789,0.89
790,0.89
791,1.79
792,4.92
793,8.05
794,0.89
795,0.89
796,0.89
797,0.89
798,1.79
799,4.92
800,0.89
801,1.34
802,1.79
803,3.13
804,4.92
805,12.07
