year,price
0.0,41.64
41.0,41.44
42.0,41.42
83.0,41.33
84.0,41.31
125.0,41.215
126.0,41.13
167.0,41.19
168.0,41.0874
209.0,41.46
210.0,41.46
251.0,41.47
252.0,41.47
293.0,41.43
294.0,41.4201
335.0,41.47
336.0,41.46
377.0,41.4
378.0,41.4
419.0,41.3
420.0,41.3
461.0,41.3
462.0,41.3
503.0,41.35
504.0,41.35
545.0,41.325
546.0,41.325
587.0,41.32
588.0,41.36
629.0,41.37
630.0,41.32
671.0,41.0
672.0,41.0
713.0,41.09
714.0,41.11
755.0,41.1
756.0,41.1
797.0,41.04
798.0,41.01
839.0,41.14
840.0,41.16
881.0,41.06
882.0,41.1
923.0,41.13
924.0,41.17
965.0,41.1199
966.0,41.1199
1007.0,41.0
1008.0,41.0
1049.0,41.002
1050.0,41.01
1091.0,41.0
1092.0,41.0
1133.0,40.98
1134.0,40.99
1175.0,40.99
1176.0,40.98
1217.0,41.02
1218.0,41.02
1259.0,41.11
1260.0,41.11
1301.0,41.11
1302.0,41.11
1343.0,41.09
1344.0,41.09
1385.0,41.08
1386.0,41.07
1427.0,41.11
1428.0,41.11
1469.0,41.14
1470.0,41.14
1511.0,41.26
1512.0,41.26
1553.0,41.27
1554.0,41.31
1595.0,41.28
1596.0,41.27
1637.0,41.31
1638.0,41.34
1679.0,41.27
1680.0,41.25
1721.0,41.31
1722.0,41.31
1763.0,41.25
1764.0,41.29
1805.0,41.31
1806.0,41.32
1847.0,41.25
1848.0,41.22
1889.0,41.04
1890.0,41.01
1931.0,41.03
1932.0,41.04
1973.0,41.11
1974.0,41.09
2015.0,41.01
2016.0,41.05
2057.0,41.01
2058.0,41.02
2099.0,41.08
2100.0,41.03
2141.0,41.01
2142.0,40.98
2183.0,40.94
2184.0,40.97
2225.0,40.94
2226.0,40.94
2267.0,40.98
2268.0,41.0
2309.0,41.05
2310.0,41.05
2351.0,41.1
2352.0,41.1
2393.0,41.12
2394.0,41.15
2435.0,41.12
2436.0,41.12
2477.0,41.03
2478.0,41.035
2519.0,41.05
2520.0,41.04
2561.0,41.06
2562.0,41.09
2603.0,40.99
2604.0,41.04
2645.0,41.0
2646.0,41.0
2687.0,41.01
2688.0,41.01
2729.0,41.0
2730.0,41.0
2771.0,40.96
2772.0,40.96
2813.0,40.94
2814.0,40.94
2855.0,40.96
2856.0,40.96
2897.0,41.05
2898.0,41.045
2939.0,41.03
2940.0,41.03
2981.0,41.1172
2982.0,41.1
3023.0,41.11
3024.0,41.1
3065.0,41.04
3066.0,41.04
3107.0,41.07
3108.0,41.06
3149.0,41.01
3150.0,41.005
3191.0,41.01
3192.0,41.0
3233.0,41.0
3234.0,41.0
3275.0,41.02
3276.0,41.02
3317.0,41.04
3318.0,41.04
3359.0,41.07
3360.0,41.09
3401.0,41.065
3402.0,41.08
3443.0,41.05
3444.0,41.04
3485.0,41.03
3486.0,41.02
3527.0,41.02
3528.0,41.02
3569.0,41.0
3570.0,41.01
3611.0,40.96
3612.0,41.0
3653.0,40.96
3654.0,40.96
3695.0,40.95
3696.0,40.95
3737.0,40.93
3738.0,40.94
3779.0,40.9
3780.0,40.93
3821.0,40.95
3822.0,40.96
3863.0,40.97
3864.0,40.97
3905.0,40.94
3906.0,40.94
3947.0,40.93
3948.0,40.93
3989.0,40.96
3990.0,40.94
4031.0,40.97
4032.0,40.97
4073.0,41.0
4074.0,41.0
4115.0,41.03
4116.0,41.03
4157.0,41.04
4158.0,41.04
4199.0,41.02
4200.0,41.0
4241.0,41.04
4242.0,41.06
4283.0,41.05
4284.0,41.05
4325.0,41.0164
4326.0,41.03
4367.0,41.07
4368.0,41.07
4409.0,41.06
4410.0,41.055
4451.0,41.09
4452.0,41.0975
4493.0,41.07
4494.0,41.07
4535.0,41.03
4536.0,41.03
4577.0,41.01
4578.0,41.02
4619.0,40.99
4620.0,41.03
4661.0,41.09
4662.0,41.09
4703.0,41.1
4704.0,41.1
4745.0,41.13
4746.0,41.13
4787.0,41.12
4788.0,41.11
4829.0,41.11
4830.0,41.11
4871.0,41.1
4872.0,41.11
4913.0,41.01
4914.0,41.01
4955.0,41.02
4956.0,41.03
4997.0,41.03
4998.0,41.0
5039.0,41.06
5040.0,41.05
5081.0,41.03
5082.0,41.03
5123.0,41.01
5124.0,40.98
5165.0,41.06
5166.0,41.03
5207.0,41.04
5208.0,41.04
5249.0,41.02
5250.0,41.01
5291.0,41.01
5292.0,41.02
5333.0,41.05
5334.0,41.05
5375.0,41.02
5376.0,41.02
5417.0,41.08
5418.0,41.08
5459.0,41.1
5460.0,41.09
5501.0,41.07
5502.0,41.07
5543.0,41.05
5544.0,41.05
5585.0,41.11
5586.0,41.12
5627.0,41.18
5628.0,41.15
5669.0,41.16
5670.0,41.15
5711.0,41.2
5712.0,41.2
5753.0,41.12
5754.0,41.12
5795.0,41.16
5796.0,41.14
5837.0,41.13
5838.0,41.15
5879.0,41.0
5880.0,41.0
5921.0,41.03
5922.0,41.04
5963.0,41.04
5964.0,41.02
6005.0,41.0
6006.0,41.0
6047.0,41.03
6048.0,41.03
6089.0,41.06
6090.0,41.06
6131.0,41.07
6132.0,41.05
6173.0,41.15
6174.0,41.14
6215.0,41.11
6216.0,41.11
6257.0,41.1
6258.0,41.1
6299.0,41.1
6300.0,41.1
6341.0,41.15
6342.0,41.15
6383.0,41.13
6384.0,41.13
6425.0,41.1
6426.0,41.1
6467.0,41.1
6468.0,41.09
6509.0,41.1
6510.0,41.11
6551.0,41.07
6552.0,41.09
6593.0,41.14
6594.0,41.14
6635.0,41.18
6636.0,41.18
6677.0,41.15
6678.0,41.15
6719.0,41.14
6720.0,41.1
6761.0,41.06
6762.0,41.05
6803.0,41.1
6804.0,41.1
6845.0,41.08
6846.0,41.08
6887.0,41.07
6888.0,41.07
6929.0,41.11
6930.0,41.11
6971.0,41.09
6972.0,41.09
7013.0,41.09
7014.0,41.09
7055.0,41.1
7056.0,41.1
7097.0,41.09
7098.0,41.09
7139.0,41.08
7140.0,41.06
7181.0,41.09
7182.0,41.09
7223.0,41.08
7224.0,41.07
7265.0,41.14
7266.0,41.14
7307.0,41.13
7308.0,41.13
7349.0,41.14
7350.0,41.14
7391.0,41.08
7392.0,41.07
7433.0,41.08
7434.0,41.08
7475.0,41.1
7476.0,41.09
7517.0,41.06
7518.0,41.05
7559.0,41.03
7560.0,41.01
7601.0,41.0
7602.0,41.0
7643.0,40.99
7644.0,40.9825
7685.0,40.96
7686.0,40.96
7727.0,40.96
7728.0,40.99
7769.0,40.96
7770.0,40.96
