SNo,Confirmed
0.0,1.0
19.0,2.0
20.0,1.0
39.0,0.0
40.0,9.0
59.0,3.0
60.0,2.0
79.0,0.0
80.0,0.0
99.0,15.0
100.0,10.0
119.0,1.0
120.0,0.0
139.0,32.0
140.0,28.0
159.0,3.0
160.0,3.0
179.0,104.0
180.0,83.0
199.0,9.0
200.0,8.0
219.0,3.0
220.0,4.0
239.0,47.0
240.0,46.0
259.0,1.0
260.0,1.0
279.0,3554.0
280.0,207.0
299.0,33.0
300.0,27.0
319.0,7.0
320.0,2.0
339.0,147.0
340.0,130.0
359.0,12.0
360.0,10.0
379.0,1.0
380.0,1.0
399.0,129.0
400.0,114.0
419.0,9.0
420.0,8.0
439.0,4.0
440.0,2.0
459.0,168.0
460.0,139.0
479.0,10.0
480.0,8.0
499.0,2.0
500.0,2.0
519.0,286.0
520.0,247.0
539.0,23.0
540.0,20.0
559.0,2.0
560.0,2.0
579.0,1.0
580.0,0.0
599.0,104.0
600.0,95.0
619.0,8.0
620.0,8.0
639.0,1.0
640.0,1.0
659.0,271.0
660.0,259.0
679.0,24.0
680.0,20.0
699.0,2.0
700.0,2.0
719.0,0.0
720.0,0.0
739.0,122.0
740.0,81.0
759.0,10.0
760.0,8.0
779.0,1.0
780.0,1.0
799.0,530.0
800.0,389.0
819.0,42.0
820.0,34.0
839.0,2.0
840.0,2.0
859.0,1.0
860.0,1.0
879.0,227.0
880.0,215.0
899.0,23.0
900.0,18.0
919.0,2.0
920.0,2.0
939.0,24953.0
940.0,1034.0
959.0,104.0
960.0,99.0
979.0,10.0
980.0,6.0
999.0,1.0
1000.0,1.0
1019.0,698.0
1020.0,439.0
1039.0,61.0
1040.0,52.0
1059.0,4.0
1060.0,3.0
1079.0,1.0
1080.0,1.0
1099.0,307.0
1100.0,293.0
1119.0,29.0
1120.0,26.0
1139.0,2.0
1140.0,2.0
1159.0,0.0
1160.0,0.0
1179.0,149.0
1180.0,138.0
1199.0,14.0
1200.0,14.0
1219.0,1.0
1220.0,1.0
1239.0,912.0
1240.0,860.0
1259.0,106.0
1260.0,86.0
1279.0,5.0
1280.0,4.0
1299.0,1.0
1300.0,1.0
1319.0,497.0
1320.0,436.0
1339.0,58.0
1340.0,50.0
1359.0,3.0
1360.0,3.0
1379.0,1.0
1380.0,1.0
1399.0,279.0
1400.0,265.0
1419.0,28.0
1420.0,19.0
1439.0,2.0
1440.0,2.0
1459.0,0.0
1460.0,0.0
1479.0,218.0
1480.0,162.0
1499.0,16.0
1500.0,16.0
1519.0,2.0
1520.0,1.0
1539.0,1294.0
1540.0,1212.0
1559.0,143.0
1560.0,128.0
1579.0,10.0
1580.0,9.0
1599.0,1.0
1600.0,1.0
1619.0,1004.0
1620.0,962.0
1639.0,121.0
1640.0,90.0
1659.0,5.0
1660.0,4.0
1679.0,1.0
1680.0,1.0
1699.0,626.0
1700.0,553.0
1719.0,77.0
1720.0,75.0
1739.0,4.0
1740.0,3.0
1759.0,1.0
1760.0,1.0
1779.0,542.0
1780.0,508.0
1799.0,73.0
1800.0,70.0
1819.0,3.0
1820.0,2.0
1839.0,1.0
1840.0,1.0
1859.0,393.0
1860.0,333.0
1879.0,35.0
1880.0,31.0
1899.0,2.0
1900.0,2.0
1919.0,1.0
1920.0,1.0
1939.0,307.0
1940.0,293.0
1959.0,24.0
1960.0,22.0
1979.0,2.0
1980.0,2.0
1999.0,1.0
2000.0,0.0
2019.0,246.0
2020.0,245.0
2039.0,20.0
2040.0,18.0
2059.0,2.0
2060.0,2.0
2079.0,1.0
2080.0,1.0
2099.0,526.0
2100.0,479.0
2119.0,75.0
2120.0,71.0
2139.0,4.0
2140.0,4.0
2159.0,1.0
2160.0,1.0
2179.0,989.0
2180.0,934.0
2199.0,135.0
2200.0,132.0
2219.0,10.0
2220.0,9.0
2239.0,1.0
2240.0,1.0
2259.0,0.0
2260.0,0.0
2279.0,251.0
2280.0,245.0
2299.0,30.0
2300.0,22.0
2319.0,2.0
2320.0,2.0
2339.0,1.0
2340.0,1.0
2359.0,977.0
2360.0,934.0
2379.0,133.0
2380.0,121.0
2399.0,13.0
2400.0,11.0
2419.0,1.0
2420.0,1.0
2439.0,1.0
2440.0,1.0
2459.0,631.0
2460.0,576.0
2479.0,93.0
2480.0,91.0
2499.0,7.0
2500.0,7.0
2519.0,2.0
2520.0,2.0
2539.0,1.0
2540.0,1.0
2559.0,934.0
2560.0,756.0
2579.0,133.0
2580.0,121.0
2599.0,15.0
2600.0,13.0
2619.0,2.0
2620.0,2.0
2639.0,1.0
2640.0,1.0
2659.0,65914.0
2660.0,2337.0
2679.0,252.0
2680.0,245.0
2699.0,41.0
2700.0,36.0
2719.0,4.0
2720.0,4.0
2739.0,1.0
2740.0,1.0
2759.0,1.0
2760.0,1.0
2779.0,1205.0
2780.0,1128.0
2799.0,168.0
2800.0,146.0
2819.0,25.0
2820.0,23.0
2839.0,4.0
2840.0,4.0
2859.0,1.0
2860.0,1.0
2879.0,1.0
2880.0,1.0
2899.0,1349.0
2900.0,1272.0
2919.0,174.0
2920.0,168.0
2939.0,40.0
2940.0,36.0
2959.0,7.0
2960.0,7.0
2979.0,2.0
2980.0,2.0
2999.0,1.0
3000.0,1.0
3019.0,0.0
3020.0,0.0
3039.0,414.0
3040.0,337.0
3059.0,76.0
3060.0,75.0
3079.0,14.0
3080.0,13.0
3099.0,4.0
3100.0,4.0
3119.0,2.0
3120.0,2.0
3139.0,1.0
3140.0,1.0
3159.0,1.0
3160.0,0.0
3179.0,576.0
3180.0,538.0
3199.0,100.0
3200.0,93.0
3219.0,21.0
3220.0,19.0
3239.0,6.0
3240.0,6.0
3259.0,2.0
3260.0,2.0
3279.0,1.0
3280.0,1.0
3299.0,1.0
3300.0,1.0
3319.0,67332.0
3320.0,5621.0
3339.0,296.0
3340.0,285.0
3359.0,75.0
3360.0,56.0
3379.0,16.0
3380.0,16.0
3399.0,6.0
3400.0,6.0
3419.0,2.0
3420.0,2.0
3439.0,1.0
3440.0,1.0
3459.0,1.0
3460.0,1.0
3479.0,0.0
3480.0,0.0
3499.0,423.0
3500.0,360.0
3519.0,93.0
3520.0,87.0
3539.0,22.0
3540.0,21.0
3559.0,10.0
3560.0,10.0
3579.0,3.0
3580.0,3.0
3599.0,2.0
3600.0,2.0
3619.0,1.0
3620.0,1.0
3639.0,1.0
3640.0,1.0
3659.0,4636.0
3660.0,1352.0
3679.0,296.0
3680.0,252.0
3699.0,76.0
3700.0,75.0
3719.0,21.0
3720.0,21.0
3739.0,13.0
3740.0,11.0
3759.0,4.0
3760.0,4.0
3779.0,2.0
3780.0,2.0
3799.0,1.0
3800.0,1.0
3819.0,1.0
3820.0,1.0
3839.0,1.0
3840.0,1.0
3859.0,5883.0
3860.0,5823.0
3879.0,318.0
3880.0,296.0
3899.0,93.0
3900.0,85.0
3919.0,27.0
3920.0,23.0
3939.0,13.0
3940.0,13.0
3959.0,5.0
3960.0,5.0
3979.0,3.0
3980.0,3.0
3999.0,2.0
4000.0,2.0
4019.0,1.0
4020.0,1.0
4039.0,1.0
4040.0,1.0
4059.0,1.0
4060.0,1.0
4079.0,0.0
4080.0,0.0
4099.0,631.0
4100.0,576.0
4119.0,146.0
4120.0,136.0
4139.0,49.0
4140.0,45.0
4159.0,21.0
4160.0,20.0
4179.0,11.0
4180.0,10.0
4199.0,5.0
4200.0,5.0
4219.0,3.0
4220.0,3.0
4239.0,2.0
4240.0,2.0
4259.0,1.0
4260.0,1.0
4279.0,1.0
4280.0,1.0
4299.0,1.0
4300.0,1.0
4319.0,1.0
4320.0,1.0
4339.0,0.0
4340.0,0.0
4359.0,511.0
4360.0,481.0
4379.0,131.0
4380.0,125.0
4399.0,45.0
4400.0,45.0
4419.0,20.0
4420.0,19.0
4439.0,10.0
4440.0,10.0
4459.0,6.0
4460.0,6.0
4479.0,3.0
4480.0,3.0
4499.0,2.0
4500.0,2.0
4519.0,2.0
4520.0,2.0
4539.0,1.0
4540.0,1.0
4559.0,1.0
4560.0,1.0
4579.0,1.0
4580.0,1.0
4599.0,1.0
4600.0,1.0
4619.0,1018.0
4620.0,990.0
4639.0,267.0
4640.0,262.0
4659.0,89.0
4660.0,76.0
4679.0,36.0
4680.0,34.0
4699.0,17.0
4700.0,16.0
4719.0,9.0
4720.0,9.0
4739.0,8.0
4740.0,5.0
4759.0,3.0
4760.0,3.0
4779.0,1.0
4780.0,1.0
4799.0,1.0
4800.0,1.0
4819.0,9000.0
4820.0,7755.0
4839.0,500.0
4840.0,482.0
4859.0,149.0
4860.0,146.0
4879.0,62.0
4880.0,62.0
4899.0,28.0
4900.0,25.0
4919.0,17.0
4920.0,16.0
4939.0,9.0
4940.0,9.0
4959.0,6.0
4960.0,6.0
4979.0,3.0
4980.0,3.0
4999.0,1.0
5000.0,1.0
5019.0,1.0
5020.0,1.0
5039.0,2281.0
5040.0,2277.0
5059.0,482.0
5060.0,456.0
5079.0,136.0
5080.0,133.0
5099.0,69.0
5100.0,67.0
5119.0,32.0
5120.0,31.0
5139.0,19.0
5140.0,19.0
5159.0,11.0
5160.0,11.0
5179.0,7.0
5180.0,7.0
5199.0,3.0
5200.0,3.0
5219.0,1.0
5220.0,1.0
5239.0,1.0
5240.0,1.0
5259.0,1018.0
5260.0,990.0
5279.0,127.0
5280.0,125.0
5299.0,64.0
5300.0,1.0
5319.0,77.0
5320.0,0.0
5339.0,79.0
