Date,Value
0.0,35.2
2.0,35.4
3.0,36.2
5.0,38.9
6.0,40.1
8.0,43.5
9.0,48.3
11.0,65.5
12.0,63.9
14.0,120.1
15.0,103.0
17.0,168.4
18.0,154.1
20.0,183.9
21.0,177.3
23.0,143.5
24.0,140.3
26.0,122.9
27.0,116.0
29.0,148.3
30.0,142.6
32.0,165.0
33.0,183.4
35.0,217.1
36.0,226.0
38.0,226.8
39.0,218.6
41.0,225.5
42.0,223.1
44.0,220.7
45.0,220.65
47.0,216.85
48.0,220.65
50.0,231.75
51.0,230.55
53.0,230.0
54.0,236.1
56.0,235.45
57.0,235.2
59.0,233.7
60.0,229.35
62.0,243.1
63.0,244.5
65.0,250.5
66.0,246.75
68.0,240.6
69.0,240.65
71.0,247.05
72.0,248.1
74.0,250.75
75.0,252.35
77.0,248.6
78.0,247.9
80.0,248.8
81.0,248.0
83.0,239.75
84.0,242.25
86.0,241.0
87.0,240.0
89.0,239.5
90.0,240.1
92.0,242.25
93.0,242.1
95.0,242.85
96.0,242.5
98.0,244.35
99.0,244.4
101.0,240.1
102.0,239.7
104.0,239.75
105.0,240.65
107.0,240.2
108.0,239.75
110.0,233.95
111.0,233.95
113.0,231.9
114.0,233.2
116.0,236.4
117.0,236.85
119.0,241.8
120.0,242.2
122.0,245.3
123.0,247.3
125.0,246.5
126.0,248.45
128.0,248.95
129.0,247.95
131.0,251.5
132.0,251.0
134.0,256.5
135.0,256.8
137.0,262.0
138.0,265.4
140.0,263.75
141.0,270.6
143.0,273.8
144.0,270.25
146.0,275.1
147.0,272.9
149.0,280.0
150.0,276.05
152.0,282.35
153.0,277.75
155.0,279.0
156.0,280.0
158.0,280.3
159.0,281.35
161.0,283.45
162.0,283.85
164.0,281.8
165.0,275.9
167.0,282.5
168.0,281.35
170.0,288.25
171.0,290.25
173.0,290.5
174.0,290.3
176.0,287.45
177.0,292.8
179.0,302.15
180.0,299.15
182.0,304.9
183.0,305.25
185.0,305.2
186.0,305.8
188.0,296.45
189.0,290.1
191.0,286.5
192.0,282.7
194.0,289.0
195.0,297.1
197.0,298.75
198.0,292.0
200.0,297.85
201.0,300.55
203.0,300.5
204.0,311.0
206.0,314.75
207.0,314.75
209.0,315.2
210.0,319.15
212.0,322.9
213.0,325.0
215.0,335.5
216.0,329.15
218.0,339.5
219.0,337.1
221.0,345.8
222.0,351.75
224.0,369.0
225.0,380.0
227.0,380.4
228.0,376.7
230.0,395.5
231.0,397.25
233.0,426.0
234.0,402.0
236.0,385.0
237.0,372.0
239.0,413.0
240.0,401.5
242.0,402.9
243.0,394.25
