Date Time,p (mbar)
0.0,996.52
63.0,1000.78
64.0,1000.83
127.0,1000.15
128.0,1000.09
191.0,998.18
192.0,998.11
255.0,1001.13
256.0,1001.19
319.0,1001.4
320.0,1001.29
383.0,996.25
384.0,996.12
447.0,991.49
448.0,991.36
511.0,987.88
512.0,987.88
575.0,985.07
576.0,985.06
639.0,989.76
640.0,989.87
703.0,996.71
704.0,996.78
767.0,998.34
768.0,998.35
831.0,995.86
832.0,995.79
895.0,992.69
896.0,992.65
959.0,992.21
960.0,992.34
1023.0,1000.68
1024.0,1000.81
1087.0,1003.9
1088.0,1003.86
1151.0,1003.66
1152.0,1003.58
1215.0,1003.76
1216.0,1003.79
1279.0,1003.22
1280.0,1003.25
1343.0,1003.58
1344.0,1003.66
1407.0,1002.29
1408.0,1002.27
1471.0,1003.78
1472.0,1003.69
1535.0,1003.71
1536.0,1003.71
1599.0,1002.22
1600.0,1002.19
1663.0,997.41
1664.0,997.26
1727.0,993.54
1728.0,993.44
1791.0,991.01
1792.0,990.93
1855.0,988.64
1856.0,988.67
1919.0,987.08
1920.0,987.09
1983.0,988.32
1984.0,988.39
2047.0,992.26
2048.0,992.35
2111.0,994.7
2112.0,994.65
2175.0,997.83
2176.0,997.87
2239.0,997.81
2240.0,997.64
2303.0,995.14
2304.0,995.15
2367.0,993.3
2368.0,993.33
2431.0,988.95
2432.0,988.88
2495.0,981.87
2496.0,981.65
2559.0,972.48
2560.0,972.65
2623.0,979.05
2624.0,979.06
2687.0,967.32
2688.0,967.14
2751.0,965.92
2752.0,966.17
2815.0,972.51
2816.0,972.64
2879.0,977.43
2880.0,977.48
2943.0,980.64
2944.0,980.69
3007.0,982.67
3008.0,982.76
3071.0,981.6
3072.0,981.51
3135.0,974.3
3136.0,974.25
3199.0,965.18
3200.0,964.93
3263.0,945.13
3264.0,945.24
3327.0,955.1
3328.0,955.28
3391.0,961.02
3392.0,961.1
3455.0,971.14
3456.0,971.21
3519.0,975.26
3520.0,975.25
3583.0,975.0
3584.0,974.99
3647.0,976.18
3648.0,976.29
3711.0,978.78
3712.0,978.89
3775.0,982.71
3776.0,982.82
3839.0,988.16
3840.0,988.15
3903.0,991.22
3904.0,991.28
3967.0,992.61
3968.0,992.55
4031.0,995.05
4032.0,995.04
4095.0,997.04
4096.0,997.12
4159.0,998.47
4160.0,998.56
4223.0,999.45
4224.0,999.51
4287.0,998.81
4288.0,998.81
4351.0,996.01
4352.0,996.0
4415.0,993.37
4416.0,993.38
4479.0,988.19
4480.0,988.11
4543.0,985.59
4544.0,985.55
4607.0,982.74
4608.0,982.74
4671.0,981.67
4672.0,981.77
4735.0,977.09
4736.0,977.09
4799.0,974.66
4800.0,974.59
4863.0,972.66
4864.0,972.66
4927.0,971.96
4928.0,971.98
4991.0,971.04
4992.0,971.06
5055.0,972.66
5056.0,972.68
5119.0,971.33
5120.0,971.22
5183.0,971.67
5184.0,971.64
5247.0,969.42
5248.0,969.52
5311.0,965.02
5312.0,964.93
5375.0,961.29
5376.0,961.13
5439.0,961.68
5440.0,961.61
5503.0,969.1
5504.0,969.32
5567.0,976.29
5568.0,976.43
5631.0,980.92
5632.0,980.9
5695.0,980.93
5696.0,980.92
5759.0,973.46
5760.0,973.37
5823.0,960.17
5824.0,960.1
5887.0,965.1
5888.0,965.31
5951.0,977.8
5952.0,978.0
6015.0,983.72
6016.0,983.72
6079.0,984.75
6080.0,984.82
6143.0,988.02
6144.0,988.11
6207.0,989.48
6208.0,989.45
6271.0,989.5
6272.0,989.39
6335.0,989.0
6336.0,989.09
6399.0,995.34
6400.0,995.54
6463.0,999.39
6464.0,999.43
6527.0,1000.67
6528.0,1000.67
6591.0,996.93
6592.0,996.85
6655.0,991.46
6656.0,991.34
6719.0,990.96
6720.0,990.96
6783.0,986.05
6784.0,985.97
6847.0,992.08
6848.0,992.08
6911.0,999.12
6912.0,999.2
6975.0,1000.66
6976.0,1000.68
7039.0,998.7
7040.0,998.7
7103.0,998.34
7104.0,998.34
7167.0,997.36
7168.0,997.35
7231.0,995.77
7232.0,995.81
7295.0,996.35
7296.0,996.4
7359.0,999.41
7360.0,999.5
7423.0,1001.48
7424.0,1001.43
7487.0,999.68
7488.0,999.68
7551.0,992.02
7552.0,992.05
7615.0,988.05
7616.0,988.04
7679.0,984.81
7680.0,984.76
7743.0,985.87
7744.0,985.96
7807.0,991.59
7808.0,991.7
7871.0,998.33
7872.0,998.37
7935.0,1001.52
7936.0,1001.42
7999.0,1000.25
8000.0,1000.12
8063.0,996.47
8064.0,996.35
8127.0,990.89
8128.0,990.93
8191.0,986.83
8192.0,986.71
8255.0,987.63
8256.0,987.71
8319.0,988.86
8320.0,988.94
8383.0,988.82
8384.0,988.79
8447.0,987.96
8448.0,987.9
8511.0,986.15
8512.0,986.1
8575.0,983.91
8576.0,983.84
8639.0,984.19
8640.0,984.11
8703.0,985.14
8704.0,985.14
8767.0,988.51
8768.0,988.51
8831.0,989.98
8832.0,989.98
8895.0,985.07
8896.0,985.05
8959.0,976.55
8960.0,976.38
9023.0,966.55
9024.0,966.32
9087.0,961.12
9088.0,960.97
9151.0,959.29
9152.0,959.39
9215.0,960.5
9216.0,960.51
9279.0,965.3
9280.0,965.37
9343.0,972.44
9344.0,972.61
9407.0,979.74
9408.0,979.86
9471.0,985.71
9472.0,985.68
9535.0,983.03
9536.0,983.08
9599.0,977.65
9600.0,977.67
9663.0,975.51
9664.0,975.5
9727.0,981.26
9728.0,981.33
9791.0,984.58
9792.0,984.48
9855.0,983.79
9856.0,983.71
9919.0,977.33
9920.0,977.33
9983.0,987.42
9984.0,987.65
10047.0,993.43
10048.0,993.55
10111.0,995.08
10112.0,995.01
10175.0,990.1
10176.0,989.93
10239.0,988.13
10240.0,988.2
10303.0,992.53
10304.0,992.55
10367.0,994.22
