No,Iws
0.0,1.79
19.0,1.79
20.0,0.89
39.0,35.75
40.0,37.54
59.0,102.8
60.0,105.93
79.0,73.75
80.0,80.9
99.0,213.65
100.0,218.57
119.0,23.7
120.0,26.83
139.0,0.89
140.0,1.79
159.0,24.59
160.0,26.38
179.0,0.89
180.0,3.13
199.0,21.9
200.0,25.92
219.0,8.04
220.0,9.83
239.0,52.31
240.0,60.36
259.0,85.83
260.0,89.85
279.0,88.05
280.0,101.01
299.0,263.74
300.0,270.89
319.0,13.85
320.0,15.64
339.0,14.75
340.0,19.67
359.0,1.78
360.0,2.67
379.0,1.78
380.0,2.23
399.0,4.46
400.0,0.89
419.0,13.41
420.0,15.2
439.0,13.86
440.0,0.89
459.0,25.49
460.0,28.62
479.0,65.7
480.0,75.53
499.0,21.46
500.0,25.48
519.0,124.7
520.0,133.64
539.0,46.95
540.0,55.0
559.0,0.89
560.0,1.79
579.0,172.09
580.0,181.92
599.0,3.13
600.0,0.89
619.0,0.89
620.0,0.89
639.0,24.15
640.0,32.2
659.0,35.76
660.0,44.7
679.0,4.02
680.0,9.83
699.0,0.89
700.0,4.02
719.0,84.46
720.0,87.59
739.0,2.68
740.0,0.89
759.0,16.54
760.0,19.67
779.0,14.75
780.0,16.54
799.0,0.89
800.0,1.34
819.0,1.34
820.0,1.79
839.0,1.79
840.0,4.92
859.0,8.05
860.0,8.94
879.0,22.35
880.0,25.48
899.0,0.89
900.0,1.78
919.0,4.92
920.0,8.05
939.0,0.89
940.0,2.68
959.0,12.07
960.0,16.09
979.0,38.88
980.0,44.69
999.0,7.15
1000.0,4.02
1019.0,3.13
1020.0,3.13
1039.0,21.02
1040.0,24.15
1059.0,6.26
1060.0,10.28
1079.0,11.18
1080.0,4.02
1099.0,2.68
1100.0,0.89
1119.0,8.04
1120.0,12.06
1139.0,74.65
1140.0,86.72
1159.0,0.89
1160.0,1.78
1179.0,4.45
1180.0,4.9
1199.0,3.56
1200.0,4.45
1219.0,4.92
1220.0,1.79
1239.0,47.84
1240.0,51.86
1259.0,26.38
1260.0,31.3
1279.0,3.58
1280.0,0.89
1299.0,1.78
1300.0,1.79
1319.0,0.89
1320.0,1.78
1339.0,45.6
1340.0,47.39
1359.0,8.04
1360.0,12.06
1379.0,1.78
1380.0,2.67
1399.0,9.83
1400.0,13.85
1419.0,18.33
1420.0,20.12
1439.0,80.48
1440.0,82.27
1459.0,72.44
1460.0,0.89
1479.0,18.78
1480.0,20.57
1499.0,12.52
1500.0,14.31
1519.0,71.52
1520.0,81.35
1539.0,49.62
1540.0,55.43
1559.0,18.78
1560.0,21.91
1579.0,1.79
1580.0,0.89
1599.0,2.23
1600.0,1.79
1619.0,112.63
1620.0,119.78
1639.0,0.89
1640.0,1.78
1659.0,1.79
1660.0,0.89
1679.0,11.62
1680.0,16.54
1699.0,2.68
1700.0,0.89
1719.0,29.04
1720.0,33.96
1739.0,16.1
1740.0,20.12
1759.0,22.79
1760.0,26.81
1779.0,2.67
1780.0,0.89
1799.0,3.13
1800.0,3.13
1819.0,0.89
1820.0,0.89
1839.0,3.13
1840.0,3.13
1859.0,0.89
1860.0,1.79
1879.0,23.25
1880.0,35.32
1899.0,1.79
1900.0,3.58
1919.0,3.13
1920.0,1.79
1939.0,92.51
1940.0,97.43
1959.0,40.67
1960.0,46.48
1979.0,14.3
1980.0,19.22
1999.0,12.96
2000.0,21.01
2019.0,0.45
2020.0,0.9
2039.0,7.15
2040.0,10.28
2059.0,12.52
2060.0,17.44
2079.0,8.94
2080.0,13.86
2099.0,11.18
2100.0,14.31
2119.0,13.42
2120.0,14.31
2139.0,2.23
2140.0,0.89
2159.0,53.63
2160.0,63.46
2179.0,208.29
2180.0,211.42
2199.0,83.58
2200.0,92.52
2219.0,12.07
2220.0,16.99
2239.0,4.92
2240.0,1.79
2259.0,0.89
2260.0,1.78
2279.0,1.79
2280.0,0.89
2299.0,0.45
2300.0,3.13
2319.0,33.97
2320.0,42.91
2339.0,134.55
2340.0,138.57
2359.0,16.54
2360.0,22.35
2379.0,11.62
2380.0,5.81
2399.0,55.87
2400.0,59.89
2419.0,1.79
2420.0,3.58
2439.0,84.49
2440.0,98.35
2459.0,229.33
2460.0,239.16
2479.0,4.47
2480.0,3.13
2499.0,63.03
2500.0,66.16
2519.0,0.89
2520.0,1.34
2539.0,32.62
2540.0,38.43
2559.0,98.34
2560.0,101.47
2579.0,1.79
2580.0,2.68
2599.0,10.29
2600.0,4.92
2619.0,1.79
2620.0,3.58
2639.0,13.86
2640.0,16.99
2659.0,1.79
2660.0,4.92
2679.0,42.92
2680.0,0.89
2699.0,3.13
2700.0,7.15
2719.0,0.45
2720.0,1.79
2739.0,98.36
2740.0,101.49
2759.0,14.76
2760.0,4.02
2779.0,27.28
2780.0,34.43
2799.0,155.57
2800.0,164.51
2819.0,304.0
2820.0,315.18
2839.0,20.12
2840.0,28.17
2859.0,182.39
2860.0,187.31
2879.0,39.35
2880.0,0.89
2899.0,42.9
2900.0,48.71
2919.0,7.15
2920.0,16.09
2939.0,7.15
2940.0,8.94
2959.0,1.79
2960.0,0.89
2979.0,59.45
2980.0,63.47
2999.0,134.1
3000.0,143.04
3019.0,97.87
3020.0,4.92
3039.0,47.83
3040.0,57.66
3059.0,1.79
3060.0,4.92
3079.0,35.77
3080.0,47.84
3099.0,1.79
3100.0,3.58
3119.0,146.16
3120.0,154.21
3139.0,1.79
3140.0,2.68
3159.0,8.05
3160.0,12.97
3179.0,2.68
3180.0,4.47
3199.0,9.39
3200.0,12.52
3219.0,2.68
3220.0,4.47
3239.0,25.92
3240.0,27.71
3259.0,90.3
3260.0,93.43
3279.0,1.79
3280.0,3.13
3299.0,45.59
3300.0,48.72
3319.0,0.89
3320.0,1.79
3339.0,1.79
3340.0,0.89
3359.0,46.93
3360.0,50.06
3379.0,27.72
3380.0,29.51
3399.0,6.26
3400.0,12.07
3419.0,12.97
3420.0,0.89
3439.0,1.79
3440.0,9.84
3459.0,9.84
3460.0,13.86
3479.0,1.79
3480.0,1.79
3499.0,52.31
3500.0,57.23
3519.0,4.92
3520.0,8.05
3539.0,15.2
3540.0,1.79
3559.0,2.67
3560.0,3.56
3579.0,16.98
3580.0,24.13
3599.0,7.15
3600.0,8.94
3619.0,15.19
3620.0,0.89
3639.0,3.13
3640.0,3.13
3659.0,8.5
3660.0,0.89
3679.0,0.89
3680.0,1.78
3699.0,30.4
3700.0,0.89
3719.0,34.41
3720.0,36.2
3739.0,21.0
3740.0,22.79
3759.0,17.88
3760.0,21.9
3779.0,4.92
3780.0,3.13
3799.0,1.79
3800.0,3.58
3819.0,1.78
3820.0,2.67
3839.0,0.89
3840.0,1.79
3859.0,18.33
3860.0,20.12
3879.0,4.92
3880.0,6.71
3899.0,1.78
3900.0,3.57
3919.0,22.8
3920.0,25.93
3939.0,1.79
3940.0,4.92
3959.0,31.74
3960.0,34.87
3979.0,0.89
3980.0,1.79
3999.0,14.76
4000.0,19.68
4019.0,3.58
4020.0,1.79
4039.0,4.92
4040.0,8.05
4059.0,0.89
4060.0,0.89
4079.0,2.67
4080.0,3.56
4099.0,16.54
4100.0,21.46
4119.0,1.79
4120.0,4.02
4139.0,11.62
4140.0,13.41
4159.0,1.78
4160.0,2.67
4179.0,21.02
4180.0,22.81
4199.0,0.89
4200.0,1.79
4219.0,19.22
4220.0,22.35
4239.0,3.13
4240.0,6.26
4259.0,2.68
4260.0,1.79
4279.0,8.05
4280.0,9.84
4299.0,45.6
4300.0,0.45
4319.0,4.02
4320.0,7.15
4339.0,15.65
4340.0,17.44
4359.0,11.17
4360.0,3.13
4379.0,2.68
4380.0,4.47
4399.0,1.78
4400.0,2.67
4419.0,1.79
4420.0,0.89
4439.0,27.28
4440.0,0.89
4459.0,38.01
4460.0,39.8
4479.0,7.15
4480.0,12.96
4499.0,12.52
4500.0,15.65
4519.0,2.23
4520.0,1.79
4539.0,40.23
4540.0,1.79
4559.0,0.89
4560.0,1.79
4579.0,11.18
4580.0,14.31
4599.0,0.89
4600.0,1.79
4619.0,0.89
4620.0,1.79
4639.0,3.13
4640.0,6.26
4659.0,1.79
4660.0,2.68
4679.0,1.78
