Date,number_sold
0.0,845.0
15.0,867.0
16.0,867.0
31.0,870.0
32.0,868.0
47.0,890.0
48.0,884.0
63.0,892.0
64.0,896.0
79.0,910.0
80.0,922.0
95.0,899.0
96.0,907.0
111.0,896.0
112.0,877.0
127.0,909.0
128.0,891.0
143.0,905.0
144.0,892.0
159.0,867.0
160.0,865.0
175.0,857.0
176.0,853.0
191.0,846.0
192.0,844.0
207.0,833.0
208.0,848.0
223.0,804.0
224.0,840.0
239.0,815.0
240.0,797.0
255.0,797.0
256.0,805.0
271.0,790.0
272.0,795.0
287.0,805.0
288.0,798.0
303.0,800.0
304.0,817.0
319.0,816.0
320.0,794.0
335.0,832.0
336.0,842.0
351.0,848.0
352.0,847.0
367.0,719.0
368.0,722.0
383.0,686.0
384.0,710.0
399.0,696.0
400.0,688.0
415.0,692.0
416.0,672.0
431.0,680.0
432.0,668.0
447.0,644.0
448.0,659.0
463.0,665.0
464.0,661.0
479.0,637.0
480.0,642.0
495.0,624.0
496.0,621.0
511.0,640.0
512.0,631.0
527.0,614.0
528.0,623.0
543.0,600.0
544.0,621.0
559.0,598.0
560.0,610.0
575.0,599.0
576.0,612.0
591.0,632.0
592.0,605.0
607.0,599.0
608.0,613.0
623.0,610.0
624.0,617.0
639.0,619.0
640.0,644.0
655.0,633.0
656.0,629.0
671.0,621.0
672.0,642.0
687.0,628.0
688.0,652.0
703.0,642.0
704.0,654.0
719.0,644.0
720.0,632.0
735.0,965.0
736.0,957.0
751.0,941.0
752.0,949.0
767.0,946.0
768.0,918.0
783.0,918.0
784.0,922.0
799.0,901.0
800.0,912.0
815.0,940.0
816.0,918.0
831.0,929.0
832.0,894.0
847.0,920.0
848.0,938.0
863.0,919.0
864.0,958.0
879.0,964.0
880.0,961.0
895.0,948.0
896.0,955.0
911.0,970.0
912.0,1009.0
927.0,1016.0
928.0,1020.0
943.0,1020.0
944.0,1029.0
959.0,1054.0
960.0,1054.0
975.0,1054.0
976.0,1064.0
991.0,1068.0
992.0,1050.0
1007.0,1062.0
1008.0,1062.0
1023.0,1071.0
1024.0,1061.0
1039.0,1061.0
1040.0,1046.0
1055.0,1056.0
1056.0,1059.0
1071.0,1026.0
1072.0,1030.0
1087.0,1022.0
1088.0,995.0
1103.0,886.0
1104.0,871.0
1119.0,864.0
1120.0,848.0
1135.0,860.0
1136.0,837.0
1151.0,840.0
1152.0,853.0
1167.0,855.0
1168.0,846.0
1183.0,848.0
1184.0,831.0
1199.0,852.0
1200.0,855.0
1215.0,846.0
1216.0,842.0
1231.0,870.0
1232.0,856.0
1247.0,852.0
1248.0,851.0
1263.0,872.0
1264.0,897.0
1279.0,896.0
1280.0,901.0
1295.0,911.0
1296.0,891.0
1311.0,918.0
1312.0,929.0
1327.0,933.0
1328.0,929.0
1343.0,935.0
1344.0,926.0
1359.0,925.0
1360.0,947.0
1375.0,937.0
1376.0,959.0
1391.0,955.0
1392.0,952.0
1407.0,932.0
1408.0,935.0
1423.0,930.0
1424.0,939.0
1439.0,924.0
1440.0,932.0
1455.0,926.0
1456.0,896.0
1471.0,976.0
1472.0,959.0
1487.0,982.0
1488.0,1008.0
1503.0,985.0
1504.0,957.0
1519.0,950.0
1520.0,927.0
1535.0,926.0
1536.0,938.0
1551.0,952.0
1552.0,939.0
1567.0,900.0
1568.0,899.0
1583.0,870.0
1584.0,878.0
1599.0,884.0
1600.0,885.0
1615.0,884.0
1616.0,896.0
1631.0,861.0
1632.0,870.0
1647.0,860.0
1648.0,892.0
1663.0,874.0
1664.0,902.0
1679.0,893.0
1680.0,874.0
1695.0,866.0
1696.0,882.0
1711.0,899.0
1712.0,933.0
1727.0,950.0
1728.0,934.0
1743.0,944.0
