date,ncumul_conf
0.0,1.0
31.0,5.0
32.0,5.0
63.0,2.0
64.0,7.0
95.0,16.0
96.0,7.0
127.0,25.0
128.0,
159.0,1.0
160.0,30.0
191.0,6.0
192.0,11.0
223.0,101.0
224.0,5.0
255.0,39.0
256.0,1.0
287.0,100.0
288.0,218.0
319.0,2.0
320.0,20.0
351.0,194.0
352.0,85.0
383.0,12.0
384.0,51.0
415.0,7.0
416.0,711.0
447.0,216.0
448.0,36.0
479.0,245.0
480.0,1162.0
511.0,686.0
512.0,458.0
543.0,299.0
544.0,48.0
575.0,131.0
576.0,40.0
607.0,37.0
608.0,173.0
639.0,350.0
640.0,1720.0
671.0,132.0
672.0,402.0
703.0,146.0
704.0,185.0
735.0,51.0
736.0,227.0
767.0,138.0
768.0,754.0
799.0,715.0
800.0,671.0
831.0,596.0
832.0,50.0
863.0,4245.0
864.0,60.0
895.0,1406.0
896.0,2659.0
927.0,24.0
928.0,526.0
959.0,91.0
960.0,743.0
991.0,663.0
992.0,251.0
1023.0,321.0
1024.0,916.0
1055.0,894.0
1056.0,303.0
1087.0,78.0
1088.0,840.0
1119.0,706.0
1120.0,266.0
1151.0,4913.0
1152.0,66.0
1183.0,63.0
1184.0,927.0
1215.0,114.0
1216.0,78.0
1247.0,791.0
1248.0,188.0
1279.0,5173.0
1280.0,1796.0
1311.0,376.0
1312.0,1070.0
1343.0,938.0
1344.0,72.0
1375.0,3368.0
1376.0,864.0
1407.0,664.0
1408.0,676.0
1439.0,1847.0
1440.0,82.0
1471.0,1112.0
1472.0,1771.0
1503.0,952.0
1504.0,303.0
1535.0,89.0
1536.0,875.0
1567.0,691.0
1568.0,113.0
1599.0,82.0
1600.0,5191.0
1631.0,1807.0
1632.0,3245.0
1663.0,965.0
1664.0,305.0
1695.0,878.0
1696.0,1126.0
1727.0,786.0
1728.0,5375.0
1759.0,3268.0
1760.0,193.0
1791.0,376.0
1792.0,25.0
1823.0,823.0
1824.0,195.0
1855.0,5410.0
1856.0,1899.0
1887.0,1183.0
1888.0,
1919.0,880.0
