date,fips
0.0,53061.0
19.0,6037.0
20.0,6059.0
39.0,4013.0
40.0,6037.0
59.0,17031.0
60.0,25025.0
79.0,4013.0
80.0,6037.0
99.0,6059.0
100.0,6075.0
119.0,6075.0
120.0,6085.0
139.0,6075.0
140.0,6085.0
159.0,6059.0
160.0,6073.0
179.0,4013.0
180.0,6037.0
199.0,48029.0
200.0,53061.0
219.0,6085.0
220.0,17031.0
239.0,4013.0
240.0,6023.0
259.0,6075.0
260.0,6085.0
279.0,53061.0
280.0,55025.0
299.0,6037.0
300.0,6059.0
319.0,6059.0
320.0,6067.0
339.0,6059.0
340.0,6067.0
359.0,6059.0
360.0,6067.0
379.0,6041.0
380.0,6055.0
399.0,6001.0
400.0,6023.0
419.0,48029.0
420.0,49035.0
439.0,6097.0
440.0,12057.0
459.0,6001.0
460.0,6013.0
479.0,25025.0
480.0,31055.0
499.0,6055.0
500.0,6059.0
519.0,36119.0
520.0,37183.0
539.0,6059.0
540.0,6061.0
559.0,31055.0
560.0,32003.0
579.0,53071.0
580.0,55025.0
599.0,8031.0
600.0,8035.0
619.0,27123.0
620.0,31055.0
639.0,47187.0
640.0,48029.0
659.0,6019.0
660.0,6023.0
679.0,8037.0
680.0,8041.0
699.0,21067.0
700.0,24031.0
719.0,37037.0
720.0,37183.0
739.0,51059.0
740.0,53007.0
759.0,6055.0
760.0,6059.0
779.0,12011.0
780.0,12015.0
799.0,21097.0
800.0,21111.0
819.0,36059.0
820.0,
839.0,45055.0
840.0,45083.0
859.0,53061.0
860.0,53063.0
879.0,6075.0
880.0,6081.0
899.0,12071.0
900.0,12081.0
919.0,20091.0
920.0,21067.0
939.0,33015.0
940.0,34003.0
959.0,41035.0
960.0,41047.0
979.0,49053.0
980.0,50003.0
999.0,6013.0
1000.0,6019.0
1019.0,6111.0
1020.0,6113.0
1039.0,12091.0
1040.0,12101.0
1059.0,18063.0
1060.0,18097.0
1079.0,26125.0
1080.0,26163.0
1099.0,36087.0
1100.0,36091.0
1119.0,
1120.0,45019.0
1139.0,49035.0
1140.0,49053.0
1159.0,55093.0
1160.0,4013.0
1179.0,6081.0
